id,mnemonic,value,argCount,derefMask
ADD,ADD,0x0,3,0b000
SUB,SUB,0x1,3,0b000
MUL,MUL,0x2,3,0b000
DIV,DIV,0x3,3,0b000
SMUL,SMUL,0xa,3,0b000
SDIV,SDIV,0xb,3,0b000
AND,AND,0x4,3,0b000
OR,OR,0x5,3,0b000
XOR,XOR,0x6,3,0b000
JZ,JZ,0x70,2,0b00
JNZ,JNZ,0x71,2,0b00
MOV,MOV,0x72,2,0b00
JE,JE,0x73,2,0b00
JNE,JNE,0x74,2,0b00
TSTB,TSTB,0x75,2,0b00
SETZ,SETZ,0x760,1,0b0
SETO,SETO,0x761,1,0b0
SET,SET,0x762,1,0b0
PUSH,PUSH,0x763,1,0b0
POP,POP,0x764,1,0b0
NOT,NOT,0x765,1,0b0
SHFR,SHFR,0x766,1,0b0
SHFL,SHFL,0x767,1,0b0
INC,INC,0x768,1,0b0
DEC,DEC,0x963,1,0b0
NOP,NOP,0x7690,0,0b0
STOP,STOP,0x7691,0,0b0
ADD_RM,ADD_RM,0x77,2,0b01
ADD_MR,ADD_MR,0x78,2,0b10
ADD_MM,ADD_MM,0x79,2,0b11
SUB_RM,SUB_RM,0x7a,2,0b01
SUB_MR,SUB_MR,0x7b,2,0b10
SUB_MM,SUB_MM,0x7c,2,0b11
MUL_RM,MUL_RM,0x7d,2,0b01
MUL_MR,MUL_MR,0x7e,2,0b10
MUL_MM,MUL_MM,0x7f,2,0b11
SMUL_RM,SMUL_RM,0x9a,2,0b01
SMUL_MR,SMUL_MR,0x9b,2,0b10
SMUL_MM,SMUL_MM,0x9c,2,0b11
DIV_RM,DIV_RM,0x80,2,0b01
DIV_MR,DIV_MR,0x81,2,0b10
DIV_MM,DIV_MM,0x82,2,0b11
SDIV_RM,SDIV_RM,0x9d,2,0b01
SDIV_MR,SDIV_MR,0x9e,2,0b10
SDIV_MM,SDIV_MM,0x9f,2,0b11
AND_RM,AND_RM,0x83,2,0b01
AND_MR,AND_MR,0x84,2,0b10
AND_MM,AND_MM,0x85,2,0b11
OR_RM,OR_RM,0x86,2,0b01
OR_MR,OR_MR,0x87,2,0b10
OR_MM,OR_MM,0x88,2,0b11
XOR_RM,XOR_RM,0x89,2,0b01
XOR_MR,XOR_MR,0x8a,2,0b10
XOR_MM,XOR_MM,0x8b,2,0b11
JZ_RM,JZ_RM,0x8c,2,0b01
JZ_MR,JZ_MR,0x8d,2,0b10
JZ_MM,JZ_MM,0x8e,2,0b11
JNZ_RM,JNZ_RM,0x8f,2,0b01
JNZ_MR,JNZ_MR,0x90,2,0b10
JNZ_MM,JNZ_MM,0x91,2,0b11
MOV_RM,MOV_RM,0x92,2,0b01
MOV_MR,MOV_MR,0x93,2,0b10
MOV_MM,MOV_MM,0x94,2,0b11
TSTB_M,TSTB_M,0x95,2,0b01
SETZ_M,SETZ_M,0x76a,1,0b1
SETO_M,SETO_M,0x76b,1,0b1
SET_M,SET_M,0x76c,1,0b1
PUSH_M,PUSH_M,0x76d,1,0b1
POP_M,POP_M,0x76e,1,0b1
NOT_M,NOT_M,0x76f,1,0b1
SHFR_M,SHFR_M,0x960,1,0b1
SHFL_M,SHFL_M,0x961,1,0b1
INC_M,INC_M,0x962,1,0b1
DEC_M,DEC_M,0x964,1,0b1
TRAP,TRAP,0x7692,0,0
SWM,SWM,0x7693,0,0
JMP,JMP,0x7694,0,0b0
